STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
MRN,H,2,RAIN,20240111 1800,20240111 1800,3.00, ,INCHES
MRN,H,2,RAIN,20240111 1900,20240111 1900,3.00, ,INCHES
MRN,H,2,RAIN,20240111 2000,20240111 2000,3.00, ,INCHES
MRN,H,2,RAIN,20240111 2100,20240111 2100,3.00, ,INCHES
MRN,H,2,RAIN,20240111 2200,20240111 2200,3.00, ,INCHES
MRN,H,2,RAIN,20240111 2300,20240111 2300,3.00, ,INCHES
MRN,H,2,RAIN,20240112 0000,20240112 0000,3.00, ,INCHES
MRN,H,2,RAIN,20240112 0100,20240112 0100,3.00, ,INCHES
MRN,H,2,RAIN,20240112 0200,20240112 0200,3.00, ,INCHES
MRN,H,2,RAIN,20240112 0300,20240112 0300,3.00, ,INCHES
MRN,H,2,RAIN,20240112 0400,20240112 0400,3.00, ,INCHES
MRN,H,2,RAIN,20240112 0500,20240112 0500,3.00, ,INCHES
MRN,H,2,RAIN,20240112 0600,20240112 0600,3.00, ,INCHES
MRN,H,2,RAIN,20240112 0700,20240112 0700,3.00, ,INCHES
MRN,H,2,RAIN,20240112 0800,20240112 0800,3.00, ,INCHES
MRN,H,2,RAIN,20240112 0900,20240112 0900,3.00, ,INCHES
MRN,H,2,RAIN,20240112 1000,20240112 1000,3.00, ,INCHES
MRN,H,2,RAIN,20240112 1100,20240112 1100,3.00, ,INCHES
MRN,H,2,RAIN,20240112 1200,20240112 1200,3.00, ,INCHES
MRN,H,2,RAIN,20240112 1300,20240112 1300,3.00, ,INCHES
MRN,H,2,RAIN,20240112 1400,20240112 1400,3.00, ,INCHES
MRN,H,2,RAIN,20240112 1500,20240112 1500,3.00, ,INCHES
MRN,H,2,RAIN,20240112 1600,20240112 1600,3.00, ,INCHES
MRN,H,2,RAIN,20240112 1700,20240112 1700,3.00, ,INCHES
MRN,H,2,RAIN,20240112 1800,20240112 1800,3.00, ,INCHES
MRN,H,2,RAIN,20240112 1900,20240112 1900,3.00, ,INCHES
MRN,H,2,RAIN,20240112 2000,20240112 2000,3.00, ,INCHES
MRN,H,2,RAIN,20240112 2100,20240112 2100,3.00, ,INCHES
MRN,H,2,RAIN,20240112 2200,20240112 2200,3.00, ,INCHES
MRN,H,2,RAIN,20240112 2300,20240112 2300,3.00, ,INCHES
MRN,H,2,RAIN,20240113 0000,20240113 0000,3.00, ,INCHES
MRN,H,2,RAIN,20240113 0100,20240113 0100,3.00, ,INCHES
MRN,H,2,RAIN,20240113 0200,20240113 0200,3.00, ,INCHES
MRN,H,2,RAIN,20240113 0300,20240113 0300,3.00, ,INCHES
